1,Refrigeradora LG Top Freezer VT37BPM,70.0,0.72,0.73,1.79,40.0,-12.085846,-76.971214
2,Televisor Philips 50 4K Ultra HD Google TV,9.31,0.25,0.94,0.71,0.0,-12.085846,-76.971214
3,Horno Eléctrico Modelo 3,7.25,0.43,0.52,0.38,6.0,-12.07927,-77.063227
4,Cafetera Electrolux ECM30,6.85,0.26,0.32,0.35,6.0,-12.143153,-77.128616
5,Lavavajillas Frigidaire GDPH-4515AF,29.0,0.62,0.61,0.85,30.0,-12.16075,-77.123898
6,Televisor Samsung Smart TV 50 LED 4K UHD,9.5,0.25,0.95,0.69,0.0,-12.122452,-77.031293
7,Grill Parrillero Miray GPM-15,2.6,0.27,0.52,0.1,0.0,-12.057776,-77.184214
8,Licuadora Thomas TH-780VR,4.7,0.22,0.29,0.38,0.0,-12.15856,-76.989342
9,Horno Microondas LG MS2536GIS,11.0,0.54,0.417,0.294,10.0,-12.0545,-77.1176
10,Cafetera Oster Prima Latte,5.0,0.32,0.22,0.28,5.0,-12.0657,-77.10126
11,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.053728,-76.948494
12,Horno Eléctrico Empotrable Indurama HEI-75V2NET,31.0,0.57,0.59,0.59,20.0,-12.041548,-77.142166
13,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.053728,-76.948494
14,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
15,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.140356,-76.985933
16,Cocina Indurama Parma Zafiro,45.82,0.636,0.76,0.95,20.0,-12.053728,-76.948494
17,Lavaseca LG WD9PVC4S6 AI DD,66.0,0.58,0.66,0.89,40.0,-12.134781,-77.014236
